名稱	戰法	特性1	特性2	特性3	奉行特性	家宰特性	所屬	登場年	統率	武勇	智略	政務	合計	物慾	主義	出身	信仰	騎兵LV	鐵炮LV	AI LV	野心
長尾晴景	潛力	破策			上杉傳	積草屯糧	越后	1523	30	23	62	69	184	普通	保守	武士	佛教			B	4
後藤元政	潛力	防災			軍糧奉行	常備兵訓練	美作	1574	27	24	49	27	127	淡泊	中庸	武士	佛教			C	7
後藤高治	潛力	修繕			守城奉行	獎勵樂市	近江	1558	22	24	45	39	130	貪婪	中庸	武士	佛教			C	10
佐久間信榮	止步	風雅			工事奉行	宴席交流	尾張	1570	25	24	21	44	114	淡泊	中庸	武士	佛教			C	4
平盛長	治療	修繕			武士之悟	武斷主義	河內	1545	34	24	49	42	149	淡泊	保守	武士	佛教			C	7
筒井順政	混亂	雄辯			僧侶之悟	調遣民夫	大和	1538	51	24	61	76	212	普通	保守	僧侶	佛教			B	6
戶田忠能	止步	用兵			工事奉行	重視內治	三河	1600	56	24	43	62	185	普通	中庸	武士	一向宗			C	8
椎名景直	治療	修繕			上杉傳	增強兵役	越后	1551	33	24	37	37	131	淡泊	保守	武士	佛教			C	6
長尾景直																					
野長瀨盛秀	治療	修繕			武士之悟	鐵炮訓練	紀伊	1551	34	24	52	32	142	淡泊	保守	武士	佛教			C	5
大冢親成	內訌	用兵			守城奉行	購買糧食	長陸	1557	35	25	50	59	169	淡泊	中庸	武士	佛教			C	8
北楯利長	止步	防災			官吏之悟	地區檢地	羽前	1562	31	25	58	88	202	普通	中庸	武士	佛教			B	5
中野宗時	治療	用兵	能吏		軍師之悟	深謀遠慮	陸前	1517	27	25	83	73	208	貪婪	革新	軍師	佛教			B	12
本願寺證如	治療	人脈	計謀		本願寺傳	精銳銃手	山城	1525	73	25	71	86	255	淡泊	保守	僧侶	一向宗		○	A	4
武藤友益	潛力	用兵			治水奉行	加征米稅	若狹	1528	36	25	54	61	176	淡泊	保守	武士	佛教			C	10
大井貞隆	飛馳	暗中活動			武士之悟	騎兵訓練	信濃	1518	31	26	26	47	130	普通	保守	武士	佛教			C	7
岡本宣綱	潛力	暗中活動			僧侶之悟	練武練兵	長陸	1597	52	26	69	76	223	貪婪	中庸	僧侶	佛教			B	7
楠木正虎	內訌	雄辯			名門之悟	武斷主義	備前	1534	40	26	58	83	207	貪婪	中庸	名門	佛教			B	10
佐世元嘉	治療	雄辯			守城奉行	重商主義	出雲	1560	42	26	52	51	171	淡泊	中庸	武士	佛教			C	8
長尾憲長	治療	雄辯			名門之悟	增強兵役	上野	1517	52	26	53	74	205	淡泊	中庸	名門	佛教			B	6
本間憲泰	治療	雄辯			武士之悟	積草屯糧	佐渡	1573	48	26	50	46	170	普通	保守	武士	佛教			C	4
明叔慶浚	潛力	人脈	能吏		國司之教	增強兵役	飛騨	1526	51	26	74	73	224	淡泊	保守	僧侶	佛教			B	3
山內隆通	潛力	防災			武士之悟	重視內治	備后	1544	26	26	48	38	138	淡泊	保守	武士	佛教			C	6
石田重成	治療	破策			庶民之悟	歸農主義	近江	1604	46	27	41	59	173	淡泊	中庸	庶民	佛教			C	7
一條內政	混亂	盡心盡力			國司之教	年功加俸	土佐	1573	45	27	30	44	146	貪婪	保守	名門	佛教			C	13
伊東滿秀	潛力	人脈			南蠻奉行	交易主義	日向	1584	76	27	75	60	238	淡泊	革新	武士	基督教		○	B	7
上杉朝興	潛力	工事			名門之悟	武斷主義	相模	1503	62	27	62	79	230	貪婪	保守	名門	佛教			C	10
太田垣宗壽	混亂	雄辯			武士之悟	勞民動眾	但馬	1493	37	27	40	37	141	淡泊	保守	武士	佛教			C	7
岡本禪哲	治療	雄辯			僧侶之悟	練武練兵	長陸	1536	27	27	59	75	188	淡泊	革新	僧侶	佛教			B	6
木幡高清	混亂	雄辯			守城奉行	增強兵役	磐城	1551	44	27	68	59	198	普通	中庸	武士	佛教			C	2
武田信重	治療	防災			名門之悟	增強軍役	安藝	1526	34	27	45	36	142	淡泊	保守	名門	佛教			C	7
土岐賴藝	潛力	風雅			名門之悟	宴席交流	美濃	1516	42	27	72	54	195	普通	保守	名門	佛教			B	13
成田氏宗	內訌	用兵			工事奉行	重農主義	武藏	1582	37	27	34	45	143	普通	中庸	武士	佛教			C	5
南光坊天海	治療	人脈	工事		僧侶之悟	重視內治	巖代	1550	16	27	69	89	201	貪婪	中庸	僧侶	佛教		⌾	A	12
沼田泰輝	潛力	修繕			守城奉行	增強兵役	上野	1494	42	27	60	44	173	淡泊	中庸	武士	佛教			C	3
松田憲秀	攪亂	自衛	能吏		守城奉行	能人之治	相模	1554	32	27	78	83	220	貪婪	中庸	武士	佛教			B	13
游佐盛光	潛力	修繕			守城奉行	加征米稅	能登	1561	36	27	54	49	166	貪婪	中庸	武士	佛教			C	10
足利晴直	混亂	用兵			名門之悟	加征米稅	下總	1526	37	28	58	69	192	普通	中庸	武士	佛教			C	12
生駒正俊	潛力	雄辯			軍糧奉行	地區檢地	美濃	1598	48	28	62	45	183	淡泊	中庸	武士	佛教			C	7
以心崇傳	治療	工事	破策		僧侶之悟	能人之治	山城	1584	58	28	66	91	243	貪婪	中庸	僧侶	佛教			A	12
大關資增	治療	工事			軍糧奉行	擴張農產	下野	1590	53	28	64	63	208	普通	保守	武士	佛教			B	8
岡本顯逸	潛力	雄辯			僧侶之悟	常備兵訓練	長陸	1573	23	28	68	73	192	普通	革新	僧侶	佛教			C	7
門脅政吉	潛力	用兵			守城奉行	交易主義	羽后	1543	51	28	62	75	216	普通	中庸	武士	佛教			B	7
酒井忠利	罵聲	暗中活動			軍糧奉行	重視內治	三河	1573	50	28	43	61	182	普通	革新	武士	佛教			C	6
武田逍遙軒	罵聲	鐵壁			武田傳	固守城池	甲斐	1542	32	28	47	65	172	貪婪	革新	武士	佛教			C	6
武田信廉																					
土岐賴元	混亂	防災			名門之悟	年功加俸	美濃	1560	28	28	51	44	151	淡泊	保守	名門	佛教			C	6
浪岡慶好	內訌	破策			浪岡傳	積草屯糧	陸奧	1589	40	28	35	48	151	貪婪	保守	名門	佛教			C	6
福田兼親	治療	用兵			樂市奉行	調遣民夫	肥前	1587	41	28	43	49	161	普通	革新	武士	佛教			C	9
柳川調信	潛力	能吏			守城奉行	購買糧食	對馬	1551	35	28	66	77	206	貪婪	中庸	武士	佛教		○	B	6
橫山長知	潛力	雄辯			工事奉行	常備兵訓練	丹波	1582	51	28	55	34	168	淡泊	中庸	武士	佛教			C	6
分部光信	潛力	暗中活動			武士之悟	固守城池	伊勢	1601	54	28	58	59	199	普通	保守	武士	佛教			C	7
攝津晴門	罵聲	計謀			官吏之悟	年功加俸	山城	1524	39	28	69	82	218	貪婪	保守	名門	佛教			B	9
阿茶局	混亂	雄辯			樂市奉行	重視內治	甲斐	1570	55	28	77	83	243	普通	革新	武士	佛教			B	8
茂木眾頭領	飛馳							0	38	28	35	37	138	淡泊	無					C	0
富岡眾頭領	威壓							0	50	28	33	52	163	淡泊	無					C	0
羽生眾頭領	突襲							0	44	28	46	40	158	淡泊	無					C	0
三方眾頭領	潛力							0	31	28	38	29	126	淡泊	無					C	0
犬居眾頭領	飛馳							0	38	28	34	53	153	淡泊	無					C	0
川並眾頭領	潛力							0	37	28	26	29	120	淡泊	無					C	0
根來眾頭領	止步							0	42	28	31	28	129	淡泊	無					C	0
蔀山眾頭領	威壓							0	32	28	46	48	154	淡泊	無					C	0
益田眾頭領	警戒							0	40	28	37	54	159	淡泊	無					C	0
青景隆著	治療	防災			港口奉行	能人之治	長門	1529	18	29	68	64	179	貪婪	革新	武士	佛教			C	13
安藝元泰	治療	防災			治水奉行	擴張農產	土佐	1504	26	29	65	38	158	普通	保守	武士	佛教			C	5
石田重家	治療	射手			寺社奉行	調遣民夫	近江	1598	62	29	52	70	213	淡泊	中庸	庶民	佛教			B	8
大崎義宣	潛力	破策			伊達傳	臥薪嚐膽	陸前	1536	31	29	45	52	157	普通	革新	武士	佛教			C	5
小田友治	止步	工事			名門之悟	能人之治	長陸	1562	19	29	58	52	158	普通	保守	名門	佛教			C	8
肝付兼亮	激勵	破策			武士之悟	重視內治	大隅	1572	31	29	32	33	125	貪婪	保守	武士	佛教			C	11
櫛橋光	內訌	地利			樂市奉行	重用人才	播磨	1567	67	29	80	83	259	普通	革新	武士	佛教			A	3
壽桂尼	內訌	能吏	破策		名門之悟	固守城池	山城	1500	74	29	83	86	272	淡泊	中庸	名門	佛教			A	7
田中吉興	潛力	暗中活動			軍糧奉行	歸農主義	近江	1587	53	29	41	58	181	普通	中庸	武士	佛教			C	8
千千石米格爾	潛力	炮術			商人之悟	交易主義	肥前	1583	36	29	69	60	194	普通	革新	武士	基督教		○	C	10
中村則治	激勵	破策			工事奉行	役商基建	美作	1533	39	29	29	51	148	淡泊	中庸	武士	佛教			C	9
楢崎元兼	治療	破策			武士之悟	重視內治	備后	1566	25	29	36	50	140	淡泊	保守	武士	佛教			C	6
新見貞經	治療	用兵			工事奉行	役民基建	備中	1511	40	29	40	65	174	淡泊	中庸	武士	佛教			C	7
針生盛信	混亂	雄辯			守城奉行	重農主義	巖代	1567	28	29	49	43	149	貪婪	中庸	武士	佛教			C	10
久武親直	內訌	攻城	暗中活動		守城奉行	重農主義	土佐	1560	37	29	82	66	214	貪婪	中庸	武士	佛教			B	13
別所吉治	突襲	雄辯			樂市奉行	積草屯糧	播磨	1593	27	29	35	23	114	淡泊	中庸	武士	佛教			C	6
本多正純	攪亂	計謀	能吏		官吏之悟	固守城池	三河	1579	37	29	67	79	212	貪婪	中庸	武士	佛教			A	10
本多正信	治療	工事	能吏	暗中活動	軍師之悟	過度役使	三河	1557	29	29	92	93	243	淡泊	中庸	軍師	一向宗			A	9
下國眾頭領	警戒							0	44	29	39	56	168	淡泊	無					C	0
壬生眾頭領	治療							0	31	29	36	58	154	淡泊	無					C	0
刈谷眾頭領	治療							0	26	29	34	57	146	淡泊	無					C	0
青地眾頭領	止步							0	30	29	32	36	127	淡泊	無					C	0
有馬眾頭領	攪亂							0	48	29	43	26	146	淡泊	無					C	0
問田眾頭領	潛力							0	51	29	48	53	181	淡泊	無					C	0
高津眾頭領	飛馳							0	52	29	48	25	154	淡泊	無					C	0
伊地知眾頭領	警戒							0	40	29	26	34	129	淡泊	無					C	0
足利義氏	威壓	自衛			名門之悟	重農主義	相模	1554	52	30	37	47	166	貪婪	保守	名門	佛教			C	8
荒木村次	攪亂	鐵壁			工事奉行	重視內治	攝津	1576	47	30	30	43	150	普通	革新	武士	佛教			C	11
一色藤長	止步	控場			名門之悟	武斷主義	山城	1551	21	30	50	74	175	貪婪	保守	名門	佛教			C	4
奧平忠隆	治療	暗中活動			守城奉行	重視內治	美濃	1614	33	30	40	45	148	淡泊	中庸	武士	佛教			C	4
駒井重勝	治療	工事			守城奉行	重商主義	近江	1582	56	30	66	82	234	淡泊	中庸	武士	佛教			B	5
長坂釣閑齋	內訌	用兵			守城奉行	地區檢地	甲斐	1527	24	30	31	49	134	淡泊	中庸	武士	佛教			C	8
長坂光堅																					
中坊秀祐	潛力	地利	能吏		樂市奉行	調遣民夫	大和	1565	43	30	74	76	223	淡泊	革新	武士	佛教			B	13
益田元祥	潛力	能吏			軍糧奉行	勞民動眾	石見	1572	30	30	57	80	197	普通	中庸	武士	佛教			B	5
三浦元忠	治療	暗中活動			治水奉行	重視內治	周防	1569	52	30	54	64	200	淡泊	保守	武士	佛教			C	8
森好之	攪亂	控場			守城奉行	擴張農產	大和	1532	40	30	67	77	214	普通	中庸	武士	佛教			B	6
安中眾頭領	治療							0	36	30	39	52	157	淡泊	無					C	0
蒔田眾頭領	止步							0	40	30	50	57	177	淡泊	無					C	0
揚北眾頭領	激勵							0	32	30	30	45	137	淡泊	無					C	0
女原眾頭領	潛力							0	32	30	37	26	125	淡泊	無					C	0
尾高眾頭領	罵聲							0	47	30	43	42	162	淡泊	無					C	0
秋月種春	攪亂	用兵			守城奉行	歸農主義	筑前	1614	37	31	49	54	171	普通	中庸	武士	佛教			C	7
板倉勝重	治療	人脈	雄辯		官吏之悟	能人之治	三河	1560	33	31	78	90	232	淡泊	革新	僧侶	佛教			A	6
一色在通	潛力	破策			名門之悟	年功加俸	山城	1570	28	31	32	64	155	貪婪	保守	名門	佛教			C	8
大內義長	飛馳	人脈			廻船之薦	能人之治	豐后	1546	31	31	29	48	139	普通	中庸	名門	佛教			C	5
大內親綱	止步	炮術			炮術奉行	擴張農產	巖代	1564	38	31	53	36	158	普通	中庸	武士	佛教		○	C	8
青地元珍	混亂	雄辯			工事奉行	重商主義	近江	1574	36	31	43	35	145	淡泊	革新	武士	佛教			C	4
北畠具房	警戒	用兵			國司之教	年功加俸	伊勢	1560	32	31	35	36	134	貪婪	保守	名門	佛教			C	5
酒井忠世	治療	盡心盡力			守城奉行	調遣民夫	三河	1586	30	31	77	83	221	普通	中庸	武士	佛教			B	7
津川義近	罵聲	防災			名門之悟	加征米稅	尾張	1554	31	31	32	32	126	普通	保守	名門	佛教			C	9
斯波義銀																					
白河義顯	內訌	暗中活動			名門之悟	加征米稅	磐城	1581	23	31	30	39	123	普通	保守	名門	佛教			C	5
津野基高	內訌	破策			武士之悟	武斷主義	土佐	1517	41	31	40	49	161	貪婪	保守	武士	佛教			C	8
成田長親	攪亂	盛名	防災		工事奉行	固守城池	武藏	1559	52	31	54	48	185	普通	中庸	武士	佛教			B	6
蜷川親長	治療	人脈	雄辯		名門之悟	武斷主義	山城	1548	24	31	68	70	193	普通	保守	名門	佛教			C	4
二本松義繼	威壓	工事			武士之悟	擴張農產	巖代	1566	34	31	39	22	126	貪婪	保守	武士	佛教			C	13
針生盛幸	混亂	自衛			治水奉行	重農主義	巖代	1523	34	31	33	24	122	淡泊	中庸	武士	佛教			C	3
古田重勝	罵聲	修繕			軍糧奉行	重商主義	美濃	1574	65	31	51	54	201	淡泊	革新	武士	佛教			B	8
鱒澤廣勝	潛力	雄辯			樂市奉行	購買糧食	陸奧	1566	30	31	42	26	129	貪婪	革新	武士	佛教			C	9
森本具俊	治療	用兵			武士之悟	年功加俸	伊勢	1554	29	31	46	58	164	淡泊	保守	武士	佛教			C	6
渡邊教忠	止步	破策			國司之教	加征米稅	伊予	1555	29	31	32	42	134	淡泊	保守	名門	佛教			C	7
江戶眾頭領	罵聲							0	33	31	37	36	137	淡泊	無					C	0
郡內眾頭領	治療							0	35	31	50	51	167	淡泊	無					C	0
鳥羽水軍頭領	罵聲							0	39	31	43	31	144	淡泊	無					C	0
波多眾頭領	止步							0	35	31	36	30	132	淡泊	無					C	0
秋元長朝	治療	牢固	巧言		治水奉行	能人之治	上野	1560	47	32	77	71	227	貪婪	中庸	武士	佛教			B	8
足利賴純	潛力	破策			名門之悟	臥薪嚐膽	下總	1547	30	32	46	56	164	貪婪	保守	名門	佛教			C	4
麻生元重	混亂	雄辯			工事奉行	役民基建	筑前	1557	45	32	64	41	182	貪婪	保守	武士	佛教			C	10
井伊直勝	混亂	修繕			守城奉行	重農主義	駿河	1602	62	32	69	70	233	普通	中庸	武士	佛教			B	9
井伊直親	治療	鐵壁			工事奉行	固守城池	遠江	1555	62	32	55	59	208	普通	中庸	武士	佛教			A	3
上村賴興	潛力	人脈	計謀	暗中活動	守城奉行	深謀遠慮	肥后	1505	44	32	85	66	227	貪婪	中庸	武士	佛教			B	13
鵜殿長持	內訌	控場			寺社奉行	人海戰術	三河	1527	37	32	46	52	167	淡泊	中庸	名門	佛教			C	6
大高光忠	罵聲	防災			掘金奉行	交易主義	羽后	1543	40	32	53	51	176	淡泊	革新	武士	佛教			C	8
織田信安	止步	工事			武士之悟	重商主義	尾張	1516	28	32	54	41	155	普通	保守	武士	佛教			C	10
織田賴長	治療	工事			織田傳	獎勵樂市	尾張	1596	20	32	54	52	158	貪婪	革新	武士	佛教			C	7
加藤光泰	止步	攻勢			軍糧奉行	增強兵役	美濃	1551	41	32	42	41	156	淡泊	革新	武士	佛教			C	5
龜井秀綱	潛力	工事			溫泉奉行	重商主義	出雲	1485	34	32	64	72	202	淡泊	中庸	武士	佛教			B	10
郡司敏良	止步	工事			守城奉行	積草屯糧	磐城	1559	30	32	42	41	145	普通	中庸	武士	佛教			C	9
西園寺宣久	罵聲	盡心盡力			名門之悟	加征米稅	伊予	1554	33	32	37	59	161	淡泊	保守	名門	佛教			C	5
信太范宗	治療	工事			武士之悟	重視內治	長陸	1529	28	32	58	46	164	淡泊	保守	武士	佛教			C	6
津川義冬	治療	暗中活動			名門之悟	獎勵樂市	尾張	1557	40	32	48	52	172	普通	保守	名門	佛教			C	7
斯波秀秋	潛力	暗中活動			名門之悟	常備兵訓練	尾張	1579	22	32	43	48	145	貪婪	保守	名門	佛教			C	8
莊為資	攪亂	攻城			工事奉行	固守城池	備中	1492	62	32	64	60	218	普通	中庸	武士	佛教			B	7
瀨名氏俊	潛力	暗中活動			今川傳	人海戰術	駿河	1533	30	32	52	61	175	淡泊	中庸	名門	佛教			C	3
長尾當長	內訌	用兵			名門之悟	重農主義	上野	1541	46	32	51	67	196	普通	保守	名門	佛教			C	7
松浦興信	攪亂	修繕			海賊之悟	交易主義	肥前	1509	45	32	68	68	213	淡泊	革新	海賊	佛教			B	10
村上忠勝	攪亂	工事			樂市奉行	調遣民夫	攝津	1612	29	32	47	35	143	淡泊	革新	武士	佛教			C	7
和田信業	罵聲	破策			守城奉行	固守城池	甲斐	1574	34	32	34	36	136	淡泊	中庸	武士	佛教			C	4
宅間眾頭領	警戒							0	48	32	40	40	160	淡泊	無					C	0
高原眾頭領	攪亂							0	27	32	44	47	150	淡泊	無					C	0
坂內眾頭領	威壓							0	42	32	44	41	159	淡泊	無					C	0
淺井久政	混亂	防災			淺井傳	常備兵訓練	近江	1541	39	33	47	63	182	貪婪	保守	武士	佛教			C	3
姊崎隆資	罵聲	暗中活動			武士之悟	臥薪嚐膽	羽后	1543	46	33	47	53	179	貪婪	保守	武士	佛教			C	8
阿部正豐	威壓	牢固			武士之悟	役商基建	三河	1534	17	33	26	28	104	淡泊	保守	武士	佛教			C	14
一條房通	治療	用兵			國司之教	加征米稅	土佐	1517	60	33	58	75	226	貪婪	保守	名門	佛教			B	6
一迫隆真	治療	乾坤			治水奉行	歸農主義	陸前	1564	34	33	75	49	191	貪婪	保守	武士	佛教			C	8
市橋長勝	止步	盡心盡力			工事奉行	速食軍糧	美濃	1570	46	33	46	44	169	普通	革新	武士	佛教			C	6
今川氏真	飛馳	風雅			今川傳	獎勵樂市	駿河	1553	22	33	21	59	135	貪婪	中庸	名門	佛教			C	5
大野治長	治療	人脈	雄辯		軍師之悟	重商主義	尾張	1584	34	33	53	60	180	貪婪	保守	軍師	佛教			C	4
加來統直	攪亂	雄辯			守城奉行	武斷主義	豐前	1563	37	33	46	40	156	貪婪	中庸	武士	佛教			C	6
果心居士	治療	計謀	暗中活動		忍者之悟	謀攻主義	筑後	1536	36	33	89	33	191	淡泊	中庸	忍者	佛教			A	8
狩野泰光	治療	暗中活動			軍糧奉行	人海戰術	伊豆	1542	60	33	53	64	210	淡泊	革新	武士	佛教			B	7
蒲生忠鄉	止步	用兵			守城奉行	常備兵訓練	近江	1612	52	33	53	59	197	普通	中庸	武士	佛教			C	5
蒲生忠知	止步	暗中活動			軍糧奉行	歸農主義	近江	1618	48	33	34	63	178	普通	中庸	武士	佛教			C	9
國府盛種	激勵	暗中活動			武士之悟	重商主義	伊勢	1554	42	33	33	47	155	淡泊	保守	武士	佛教			C	7
白河顯賴	攪亂	用兵			名門之悟	加征米稅	磐城	1489	31	33	39	59	162	普通	保守	名門	佛教			C	8
宗義調	治療	雄辯	工事		廻船之薦	交易主義	對馬	1536	64	33	61	86	244	普通	革新	武士	佛教			B	8
田中吉次	混亂	鐵壁			庶民之悟	歸農主義	近江	1583	48	33	41	48	170	普通	革新	武士	佛教			C	9
田原親盛	潛力	用兵			大友傳	常備兵訓練	豐后	1581	60	33	57	61	211	淡泊	中庸	武士	基督教			B	6
筒井順國	潛力	防災			僧侶之悟	擴張農產	大和	1545	41	33	61	59	194	普通	中庸	僧侶	佛教			C	9
浪岡具運	治療	雄辯			浪岡傳	積草屯糧	陸奧	1538	30	33	51	47	161	普通	保守	名門	佛教			C	8
仁木義治	罵聲	用兵			工事奉行	役民基建	阿波	1579	50	33	39	62	184	貪婪	中庸	武士	佛教			C	7
二本松家泰	罵聲	盡心盡力			守城奉行	增強兵役	巖代	1526	53	33	58	63	207	淡泊	中庸	武士	佛教			B	7
塙安友	治療	炮術			炮術奉行	強化鐵炮兵	尾張	1570	26	33	58	50	167	貪婪	革新	武士	佛教		○	C	6
平賀隆宗	警戒	用兵			守城奉行	年功加俸	安藝	1536	36	33	45	50	164	淡泊	中庸	武士	佛教			C	7
古田織部	治療	人脈	風雅		樂市奉行	宴席交流	美濃	1558	30	33	62	60	185	貪婪	革新	武士	佛教			B	7
松平定勝	罵聲	暗中活動			軍糧奉行	練武練兵	尾張	1574	54	33	51	62	200	普通	中庸	武士	佛教			C	4
真里谷信隆	治療	雄辯			武士之悟	增強軍役	上總	1510	32	33	53	35	153	淡泊	保守	武士	佛教			C	7
村井貞勝	潛力	雄辯	工事		官吏之悟	重視內治	近江	1534	27	33	73	91	224	淡泊	革新	官吏	佛教			A	3
和智誠春	潛力	暗中活動			治水奉行	役商基建	備后	1543	22	33	57	63	175	淡泊	保守	武士	佛教			C	8
和賀眾頭領	混亂							0	46	33	27	49	155	淡泊	無					C	0
真壁眾頭領	止步							0	31	33	34	49	147	淡泊	無					C	0
騎西眾頭領	飛馳							0	49	33	29	42	153	淡泊	無					C	0
軒猿眾頭領	威壓							0	45	33	28	27	133	淡泊	無					C	0
須知眾頭領	混亂							0	37	33	28	37	135	淡泊	無					C	0
八木眾頭領	混亂							0	51	33	39	55	178	淡泊	無					C	0
福賴眾頭領	攪亂							0	40	33	45	45	163	淡泊	無					C	0
鹽飽水軍頭領	潛力							0	31	33	35	38	137	淡泊	無					C	0
牛岐眾頭領	治療							0	25	33	51	33	142	淡泊	無					C	0
赤星眾頭領	罵聲							0	50	33	37	43	163	淡泊	無					C	0
安東水軍頭領	飛馳							0	44	33	46	45	168	淡泊	無					C	0
黑川眾頭領	治療							0	50	33	31	40	154	淡泊	無					C	0
赤座吉家	混亂	能吏			樂市奉行	常備兵訓練	越前	1577	47	34	45	43	169	貪婪	中庸	武士	佛教			C	11
朝倉義景	攪亂	文人外交	工事	風雅	朝倉傳	年功加俸	越前	1547	41	34	42	51	168	貪婪	保守	武士	佛教			B	13
阿曾沼廣秀	潛力	地利			武士之悟	年功加俸	安藝	1542	45	34	48	49	176	貪婪	保守	武士	佛教			C	11
足立重信	潛力	防災			工事奉行	地區檢地	美濃	1578	45	34	60	89	228	淡泊	中庸	武士	佛教		○	B	6
石田正澄	潛力	暗中活動			庶民之悟	調遣民夫	近江	1571	40	34	62	80	216	淡泊	中庸	庶民	佛教			B	5
泉山政義	治療	破策			南部傳	購買糧食	陸奧	1575	41	34	58	67	200	淡泊	保守	武士	佛教			C	6
井上重房	治療	雄辯			武士之悟	役民基建	伊予	1551	29	34	55	48	166	普通	保守	武士	佛教			C	6
大館義實	突襲	用兵			守城奉行	武斷主義	伊賀	1551	30	34	41	60	165	淡泊	中庸	武士	佛教			C	3
大田原資清	治療	地利	馬術	暗中活動	馬術奉行	擴張農產	下野	1500	63	34	83	74	254	貪婪	保守	武士	佛教			B	11
